2	Destiny of the Daleks (1)	Doctor Who The Collection Season 17/Disc 1 - Destiny of the Daleks/Original/S17E01 - Destiny of the Daleks (1) (Original).mkv
3	Destiny of the Daleks (2)	Doctor Who The Collection Season 17/Disc 1 - Destiny of the Daleks/Original/S17E02 - Destiny of the Daleks (2) (Original).mkv
4	Destiny of the Daleks (3)	Doctor Who The Collection Season 17/Disc 1 - Destiny of the Daleks/Original/S17E03 - Destiny of the Daleks (3) (Original).mkv
5	Destiny of the Daleks (4)	Doctor Who The Collection Season 17/Disc 1 - Destiny of the Daleks/Original/S17E03 - Destiny of the Daleks (4) (Original).mkv
6	City of Death (1)	Doctor Who The Collection Season 17/Disc 2 - City of Death/S17E05 - City Of Death (1).mkv
7	City of Death (2)	Doctor Who The Collection Season 17/Disc 2 - City of Death/S17E06 - City Of Death (2).mkv
8	City of Death (3)	Doctor Who The Collection Season 17/Disc 2 - City of Death/S17E07 - City Of Death (3).mkv
9	City of Death (4)	Doctor Who The Collection Season 17/Disc 2 - City of Death/S17E08 - City Of Death (4).mkv
10	The Creature from the Pit (1)	Doctor Who The Collection Season 17/Disc 3 - The Creature from the Pit/S17E09 - The Creature from the Pit (1).mkv
11	The Creature from the Pit (2)	Doctor Who The Collection Season 17/Disc 3 - The Creature from the Pit/S17E10 - The Creature from the Pit (2).mkv
12	The Creature from the Pit (3)	Doctor Who The Collection Season 17/Disc 3 - The Creature from the Pit/S17E11 - The Creature from the Pit (3).mkv
13	The Creature from the Pit (4)	Doctor Who The Collection Season 17/Disc 3 - The Creature from the Pit/S17E12 - The Creature from the Pit (4).mkv
14	Nightmare of Eden (1)	Doctor Who The Collection Season 17/Disc 4 - Nightmare of Eden/Original/S17E13 - Nightmare Of Eden (1) (Original).mkv
15	Nightmare of Eden (2)	Doctor Who The Collection Season 17/Disc 4 - Nightmare of Eden/Original/S17E14 - Nightmare Of Eden (2) (Original).mkv
16	Nightmare of Eden (3)	Doctor Who The Collection Season 17/Disc 4 - Nightmare of Eden/Original/S17E15 - Nightmare Of Eden (Original).mkv
17	Nightmare of Eden (4)	Doctor Who The Collection Season 17/Disc 4 - Nightmare of Eden/Original/S17E16 - Nightmare Of Eden (4) (Original).mkv
18	The Horns of Nimon (1)	Doctor Who The Collection Season 17/Disc 5 - The Horns of Nimon/S17E17 - The Horns of Nimon (1).mkv
19	The Horns of Nimon (2)	Doctor Who The Collection Season 17/Disc 5 - The Horns of Nimon/S17E18 - The Horns of Nimon (2).mkv
20	The Horns of Nimon (3)	Doctor Who The Collection Season 17/Disc 5 - The Horns of Nimon/S17E19 - The Horns of Nimon (3).mkv
21	The Horns of Nimon (4)	Doctor Who The Collection Season 17/Disc 5 - The Horns of Nimon/S17E20 - The Horns of Nimon (4).mkv
22	Shada (1)	Doctor Who The Collection Season 17/Disc 6 - Shada/S17E21 - Shada (1).mkv
23	Shada (2)	Doctor Who The Collection Season 17/Disc 6 - Shada/S17E22 - Shada (2).mkv
24	Shada (3)	Doctor Who The Collection Season 17/Disc 6 - Shada/S17E23 - Shada (3).mkv
25	Shada (4)	Doctor Who The Collection Season 17/Disc 6 - Shada/S17E24 - Shada (4).mkv
26	Shada (5)	Doctor Who The Collection Season 17/Disc 6 - Shada/S17E25 - Shada (5).mkv
27	Shada (6)	Doctor Who The Collection Season 17/Disc 6 - Shada/S17E26 - Shada (6).mkv
