1	Castrovalva (1)	Doctor Who The Collection Season 19/Disc 1 - Castrovalva/Original/S19e01 - Castrovalva (1) (Original).mkv
2	Castrovalva (2)	Doctor Who The Collection Season 19/Disc 1 - Castrovalva/Original/S19e02 - Castrovalva (2) (Original).mkv
3	Castrovalva (3)	Doctor Who The Collection Season 19/Disc 1 - Castrovalva/Original/S19e03 - Castrovalva (3) (Original).mkv
4	Castrovalva (4)	Doctor Who The Collection Season 19/Disc 1 - Castrovalva/Original/S19e04 - Castrovalva (4) (Original).mkv
5	Four to Doomsday (1)	Doctor Who The Collection Season 19/Disc 2 - Four To Doomsday/S19e05 - Four To Doomsday (1).mkv
6	Four to Doomsday (2)	Doctor Who The Collection Season 19/Disc 2 - Four To Doomsday/S19e06 - Four To Doomsday (2).mkv
7	Four to Doomsday (3)	Doctor Who The Collection Season 19/Disc 2 - Four To Doomsday/S19e07 - Four To Doomsday (3).mkv
8	Four to Doomsday (4)	Doctor Who The Collection Season 19/Disc 2 - Four To Doomsday/S19e08 - Four To Doomsday (4).mkv
9	Kinda (1)	Doctor Who The Collection Season 19/Disc 3 - Kinda/S19e09 - Kinda (1).mkv
10	Kinda (2)	Doctor Who The Collection Season 19/Disc 3 - Kinda/S19e10 - Kinda (2).mkv
11	Kinda (3)	Doctor Who The Collection Season 19/Disc 3 - Kinda/S19e11 - Kinda (3).mkv
12	Kinda (4)	Doctor Who The Collection Season 19/Disc 3 - Kinda/S19e12 - Kinda (4).mkv
13	The Visitation (1)	Doctor Who The Collection Season 19/Disc 4 - The Visitation/S19e13 - The Visitation (1).mkv
14	The Visitation (2)	Doctor Who The Collection Season 19/Disc 4 - The Visitation/S19e14 - The Visitation (2).mkv
15	The Visitation (3)	Doctor Who The Collection Season 19/Disc 4 - The Visitation/S19e15 - The Visitation (3).mkv
16	The Visitation (4)	Doctor Who The Collection Season 19/Disc 4 - The Visitation/S19e16 - The Visitation (4).mkv
17	Black Orchid (1)	Doctor Who The Collection Season 19/Disc 5 - Black Orchid/S19e17 - Black Orchid (1).mkv
18	Black Orchid (2)	Doctor Who The Collection Season 19/Disc 5 - Black Orchid/S19e18 - Black Orchid (2).mkv
19	Earthshock (1)	Doctor Who The Collection Season 19/Disc 6 - Earthshock/Original/S19e19 - Earthshock (1) (Original).mkv
20	Earthshock (2)	Doctor Who The Collection Season 19/Disc 6 - Earthshock/Original/S19e20 - Earthshock (2) (Original).mkv
21	Earthshock (3)	Doctor Who The Collection Season 19/Disc 6 - Earthshock/Original/S19e21 - Earthshock (3) (Original).mkv
22	Earthshock (4)	Doctor Who The Collection Season 19/Disc 6 - Earthshock/Original/S19e22 - Earthshock (4) (Original).mkv
23	Time-Flight (1)	Doctor Who The Collection Season 19/Disc 7 - Time-Flight/S19e23 - Time-Flight (1).mkv
24	Time-Flight (2)	Doctor Who The Collection Season 19/Disc 7 - Time-Flight/S19e24 - Time-Flight (2).mkv
25	Time-Flight (3)	Doctor Who The Collection Season 19/Disc 7 - Time-Flight/S19e25 - Time-Flight (3).mkv
26	Time-Flight (4)	Doctor Who The Collection Season 19/Disc 7 - Time-Flight/S19e26 - Time-Flight (4).mkv
