1	Attack of the Cybermen (1)	Doctor Who The Collection Season 22/Disc 1 - Attack of the Cybermen/S22E01 - Attack Of The Cybermen (1).mkv
2	Attack of the Cybermen (2)	Doctor Who The Collection Season 22/Disc 1 - Attack of the Cybermen/S22E02 - Attack Of The Cybermen (2).mkv
3	Vengeance on Varos (1)	Doctor Who The Collection Season 22/Disc 2 - Vengeance on Varos/S22E03 - Vengeance on Varos (1).mkv
4	Vengeance on Varos (2)	Doctor Who The Collection Season 22/Disc 2 - Vengeance on Varos/S22E04 - Vengeance on Varos (2).mkv
5	The Mark of the Rani (1)	Doctor Who The Collection Season 22/Disc 4 - The Mark of the Rani/S22E05 - The Mark Of The Rani (1).mkv
6	The Mark of the Rani (2)	Doctor Who The Collection Season 22/Disc 4 - The Mark of the Rani/S22E06 - The Mark Of The Rani (2).mkv
7	The Two Doctors (1)	Doctor Who The Collection Season 22/Disc 5 - The Two Doctors/S22E07 - The Two Doctors (1).mkv
8	The Two Doctors (2)	Doctor Who The Collection Season 22/Disc 5 - The Two Doctors/S22E08 - The Two Doctors (2).mkv
9	The Two Doctors (3)	Doctor Who The Collection Season 22/Disc 5 - The Two Doctors/S22E09 - The Two Doctors (3).mkv
11	Timelash (1)	Doctor Who The Collection Season 22/Disc 7 - Timelash/S22E10 - Timelash (1) (Original).mkv
12	Timelash (2)	Doctor Who The Collection Season 22/Disc 7 - Timelash/S22E11 - Timelash (2) (Original).mkv
13	Revelation of the Daleks (1)	Doctor Who The Collection Season 22/Disc 8 - Revelation of the Daleks/S22E12 - Revelation Of The Daleks (1) (Original).mkv
14	Revelation of the Daleks (2)	Doctor Who The Collection Season 22/Disc 8 - Revelation of the Daleks/S22E13 - Revelation Of The Daleks (2) (Original).mkv
