1	Arc of Infinity (1)	Doctor Who The Collection Season 20/Disc 1 - Arc of Infinity/Originals/S20E01 - Arc of Infinity (1) (Original).mkv
2	Arc of Infinity (2)	Doctor Who The Collection Season 20/Disc 1 - Arc of Infinity/Originals/S20E02 - Arc of Infinity (2) (Original).mkv
3	Arc of Infinity (3)	Doctor Who The Collection Season 20/Disc 1 - Arc of Infinity/Originals/S20E03 - Arc of Infinity (3) (Original).mkv
4	Arc of Infinity (4)	Doctor Who The Collection Season 20/Disc 1 - Arc of Infinity/Originals/S20E04 - Arc of Infinity (4) (Original).mkv
5	Snakedance (1)	Doctor Who The Collection Season 20/Disc 2 - Snakedance/S20E05 - Snakedance (1).mkv
6	Snakedance (2)	Doctor Who The Collection Season 20/Disc 2 - Snakedance/S20E06 - Snakedance (2).mkv
7	Snakedance (3)	Doctor Who The Collection Season 20/Disc 2 - Snakedance/S20E07 - Snakedance (3).mkv
8	Snakedance (4)	Doctor Who The Collection Season 20/Disc 2 - Snakedance/S20E08 - Snakedance (4) (Original).mkv
9	Mawdryn Undead (1)	Doctor Who The Collection Season 20/Disc 3 - Mawdryn Undead/S20E09 - Mawdryn Undead (1) (Original).mkv
10	Mawdryn Undead (2)	Doctor Who The Collection Season 20/Disc 3 - Mawdryn Undead/S20E10 - Mawdryn Undead (2) (Original).mkv
11	Mawdryn Undead (3)	Doctor Who The Collection Season 20/Disc 3 - Mawdryn Undead/S20E11 - Mawdryn Undead (3) (Original).mkv
12	Mawdryn Undead (4)	Doctor Who The Collection Season 20/Disc 3 - Mawdryn Undead/S20E12 - Mawdryn Undead (4) (Original).mkv
13	Terminus (1)	Doctor Who The Collection Season 20/Disc 4 - Terminus/S20E13 - Terminus (1) (Original).mkv
14	Terminus (2)	Doctor Who The Collection Season 20/Disc 4 - Terminus/S20E14 - Terminus (2) (Original).mkv
15	Terminus (3)	Doctor Who The Collection Season 20/Disc 4 - Terminus/S20E15 - Terminus (3) (Original).mkv
16	Terminus (4)	Doctor Who The Collection Season 20/Disc 4 - Terminus/S20E16 - Terminus (4) (Original).mkv
17	Enlightenment (1)	Doctor Who The Collection Season 20/Disc 5 - Enlightenment/Originals/S20E17 - Enlightenment (1) (Original).mkv
18	Enlightenment (2)	Doctor Who The Collection Season 20/Disc 5 - Enlightenment/Originals/S20E18 - Enlightenment (2) (Original).mkv
19	Enlightenment (3)	Doctor Who The Collection Season 20/Disc 5 - Enlightenment/Originals/S20E19 - Enlightenment (3) (Original).mkv
20	Enlightenment (4)	Doctor Who The Collection Season 20/Disc 5 - Enlightenment/Originals/S20E20 - Enlightenment (4) (Original).mkv
21	The King's Demons (1)	Doctor Who The Collection Season 20/Disc 6 - The King's Demons/S20E21 - The King's Demons (1).mkv
22	The King's Demons (2)	Doctor Who The Collection Season 20/Disc 6 - The King's Demons/S20E22 - The King's Demons (2).mkv
23	The Five Doctors	Doctor Who The Collection Season 20/Disc 7 - The Five Doctors (TX Version)/S00E02 - The Five Doctors (TX Version).mkv
