1	Time and the Rani (1)	Doctor Who The Collection Season 24/Disc 1 - Time and the Rani/S24E01 - Time and the Rani (1) (Original).mkv
2	Time and the Rani (2)	Doctor Who The Collection Season 24/Disc 1 - Time and the Rani/S24E02 - Time And The Rani (2).mkv
3	Time and the Rani (3)	Doctor Who The Collection Season 24/Disc 1 - Time and the Rani/S24E03 - Time And The Rani (3).mkv
4	Time and the Rani (4)	Doctor Who The Collection Season 24/Disc 1 - Time and the Rani/S24E04 - Time And The Rani (4).mkv
5	Paradise Towers (1)	Doctor Who The Collection Season 24/Disc 3 - Paradise Towers/S24E05 - Paradise Towers (1).mkv
6	Paradise Towers (2)	Doctor Who The Collection Season 24/Disc 3 - Paradise Towers/S24E06 - Paradise Towers (2).mkv
7	Paradise Towers (3)	Doctor Who The Collection Season 24/Disc 3 - Paradise Towers/S24E07 - Paradise Towers (3).mkv
8	Paradise Towers (4)	Doctor Who The Collection Season 24/Disc 3 - Paradise Towers/S24E08 - Paradise Towers (4).mkv
9	Delta and the Bannermen (1)	Doctor Who The Collection Season 24/Disc 5 - Delta and the Bannerman/S24E09 - Delta and the Bannermen (1).mkv
10	Delta and the Bannermen (2)	Doctor Who The Collection Season 24/Disc 5 - Delta and the Bannerman/S24E10 - Delta and the Bannermen (2).mkv
11	Delta and the Bannermen (3)	Doctor Who The Collection Season 24/Disc 5 - Delta and the Bannerman/S24E11 - Delta and the Bannermen (3).mkv
12	Dragonfire (1)	Doctor Who The Collection Season 24/Disc 7 - Dragonfire/S24E12 - Dragonfire (1).mkv
13	Dragonfire (2)	Doctor Who The Collection Season 24/Disc 7 - Dragonfire/S24E13 - Dragonfire (2).mkv
14	Dragonfire (3)	Doctor Who The Collection Season 24/Disc 7 - Dragonfire/S24E14 - Dragonfire (3).mkv
